District,State ,Growth,Sex_Ratio,Literacy
Ramban,Jammu and Kashmir,0.32,902,54.27
Shupiyan,Jammu and Kashmir,0.26,951,60.76
Kishtwar,Jammu and Kashmir,0.21,920,56.2
Kargil,Jammu and Kashmir,0.18,810,71.34
Leh,Jammu and Kashmir,0.14,690,77.2
Ranchi,Jharkhand,0.24,949,76.06
Dhanbad,Jharkhand,0.12,909,74.52
Giridih,Jharkhand,0.28,944,63.14
Purbi Singhbhum,Jharkhand,0.16,949,75.49
Bokaro,Jharkhand,0.16,922,72.01
Palamu,Jharkhand,0.26,928,63.63
Hazaribagh,Jharkhand,0.21,947,69.75
Pashchimi Singhbhum,Jharkhand,0.22,"1,005.00",58.63
Deoghar,Jharkhand,0.28,925,64.85
Garhwa,Jharkhand,0.28,935,60.33
Dumka,Jharkhand,0.19,977,61.02
Godda,Jharkhand,0.25,938,56.4
Sahibganj,Jharkhand,0.24,952,52.04
Saraikela Kharsawan,Jharkhand,0.25,956,67.7
Chatra,Jharkhand,0.32,953,60.18
Gumla,Jharkhand,0.23,993,65.73
Ramgarh,Jharkhand,0.13,921,73.17
Pakur,Jharkhand,0.28,989,48.82
Jamtara,Jharkhand,0.21,954,64.59
Latehar,Jharkhand,0.3,967,59.51
Kodarma,Jharkhand,0.43,950,66.84
Simdega,Jharkhand,0.17,997,67.99
Khunti,Jharkhand,0.22,997,63.86
Lohardaga,Jharkhand,0.27,985,67.61
Bangalore,Karnataka,0.47,916,87.67
Belgaum,Karnataka,0.13,973,73.48
Mysore,Karnataka,0.14,985,72.79
Tumkur,Karnataka,0.04,984,75.14
Gulbarga,Karnataka,0.18,971,64.85
Bellary,Karnataka,0.21,983,67.43
Bijapur,Karnataka,0.21,960,67.15
Dakshina Kannada,Karnataka,0.1,"1,020.00",88.57
Davanagere,Karnataka,0.09,972,75.74
Raichur,Karnataka,0.16,"1,000.00",59.56
Bagalkot,Karnataka,0.14,989,68.82
Dharwad,Karnataka,0.15,971,80
Mandya,Karnataka,0.02,995,70.4
Hassan,Karnataka,0.03,"1,010.00",76.07
Shimoga,Karnataka,0.07,998,80.45
Bidar,Karnataka,0.13,956,70.51
Chitradurga,Karnataka,0.09,974,73.71
Haveri,Karnataka,0.11,950,77.4
Kolar,Karnataka,0.11,979,74.39
Uttara Kannada,Karnataka,0.06,979,84.06
Koppal,Karnataka,0.16,986,68.09
Chikkaballapura,Karnataka,0.09,972,69.76
Udupi,Karnataka,0.06,"1,094.00",86.24
Yadgir,Karnataka,0.23,989,51.83
Chikmagalur,Karnataka,0,"1,008.00",79.25
Ramanagara,Karnataka,0.05,976,69.22
Gadag,Karnataka,0.1,982,75.12
Chamarajanagar,Karnataka,0.06,993,61.43
Bangalore Rural,Karnataka,0.16,946,77.93
Kodagu,Karnataka,0.01,"1,019.00",82.61
Malappuram,Kerala,0.13,"1,098.00",93.57
Thiruvananthapuram,Kerala,0.02,"1,087.00",93.02
Ernakulam,Kerala,0.06,"1,027.00",95.89
Thrissur,Kerala,0.05,"1,108.00",95.08
Kozhikode,Kerala,0.07,"1,098.00",95.08
Palakkad,Kerala,0.07,"1,067.00",89.31
Kollam,Kerala,0.02,"1,113.00",94.09
Kannur,Kerala,0.05,"1,136.00",95.1
Alappuzha,Kerala,0.01,"1,100.00",95.72
Kottayam,Kerala,0.01,"1,039.00",97.21
Kasaragod,Kerala,0.09,"1,080.00",90.09
Pathanamthitta,Kerala,-0.03,"1,132.00",96.55
Idukki,Kerala,-0.02,"1,006.00",91.99
Wayanad,Kerala,0.05,"1,035.00",89.03
Lakshadweep,Lakshadweep,0.06,946,91.85
Indore,Madhya Pradesh,0.33,928,80.87
Jabalpur,Madhya Pradesh,0.15,929,81.07
Sagar,Madhya Pradesh,0.18,893,76.46
Bhopal,Madhya Pradesh,0.29,918,80.37
Rewa,Madhya Pradesh,0.2,931,71.62
Satna,Madhya Pradesh,0.19,926,72.26
Dhar,Madhya Pradesh,0.26,964,59
Chhindwara,Madhya Pradesh,0.13,964,71.16
Gwalior,Madhya Pradesh,0.25,864,76.65
Ujjain,Madhya Pradesh,0.16,955,72.34
Morena,Madhya Pradesh,0.23,840,71.03
West Nimar,Madhya Pradesh,0.23,965,62.7
Chhattarpur,Madhya Pradesh,0.2,883,63.74
Shivpuri,Madhya Pradesh,0.23,877,62.55
Bhind,Madhya Pradesh,0.19,837,75.26
Balaghat,Madhya Pradesh,0.14,"1,021.00",77.09
Betul,Madhya Pradesh,0.13,971,68.9
Dewas,Madhya Pradesh,0.2,942,69.35
Rajgarh,Madhya Pradesh,0.23,956,61.21
Shajapur,Madhya Pradesh,0.17,938,69.09
Vidisha,Madhya Pradesh,0.2,896,70.53
Ratlam,Madhya Pradesh,0.2,971,66.78
Tikamgarh,Madhya Pradesh,0.2,901,61.43
Barwani,Madhya Pradesh,0.28,982,49.08
Seoni,Madhya Pradesh,0.18,982,72.12
Mandsaur,Madhya Pradesh,0.13,963,71.78
Raisen,Madhya Pradesh,0.18,901,72.98
Sehore,Madhya Pradesh,0.22,918,70.06
East Nimar,Madhya Pradesh,0.22,943,66.39
Katni,Madhya Pradesh,0.21,952,71.98
Damoh,Madhya Pradesh,0.17,910,69.73
Guna,Madhya Pradesh,0.27,912,63.23
Hoshangabad,Madhya Pradesh,0.14,914,75.29
Singrauli,Madhya Pradesh,0.28,920,60.41
Sidhi,Madhya Pradesh,0.24,957,64.43
Narsimhapur,Madhya Pradesh,0.14,920,75.69
Shahdol,Madhya Pradesh,0.17,974,66.67
Mandla,Madhya Pradesh,0.18,"1,008.00",66.87
Jhabua,Madhya Pradesh,0.31,990,43.3
Panna,Madhya Pradesh,0.19,905,64.79
Ashoknagar,Madhya Pradesh,0.23,904,66.42
Neemuch,Madhya Pradesh,0.14,954,70.8
Datia,Madhya Pradesh,0.18,873,72.63
Burhanpur,Madhya Pradesh,0.19,951,64.36
Anuppur,Madhya Pradesh,0.12,976,67.88
Alirajpur,Madhya Pradesh,0.19,"1,011.00",36.1
Dindori,Madhya Pradesh,0.21,"1,002.00",63.9
Sheopur,Madhya Pradesh,0.23,901,57.43
Umaria,Madhya Pradesh,0.25,950,65.89
Harda,Madhya Pradesh,0.2,935,72.5
Thane,Maharashtra,0.36,886,84.53
Pune,Maharashtra,0.3,915,86.15
Mumbai Suburban,Maharashtra,0.08,860,89.91
Nashik,Maharashtra,0.22,934,82.31
Nagpur,Maharashtra,0.14,951,88.39
Ahmadnagar,Maharashtra,0.12,939,79.05
Solapur,Maharashtra,0.12,938,77.02
Jalgaon,Maharashtra,0.15,925,78.2
Kolhapur,Maharashtra,0.1,957,81.51
Aurangabad,Maharashtra,0.28,923,79.02
Nanded,Maharashtra,0.17,943,75.45
Mumbai City,Maharashtra,-0.08,832,89.21
Satara,Maharashtra,0.07,988,82.87
Amravati,Maharashtra,0.11,951,87.38
Sangli,Maharashtra,0.09,966,81.48
Yavatmal,Maharashtra,0.13,952,82.82
Raigarh,Maharashtra,0.19,959,83.14
Buldana,Maharashtra,0.16,934,83.4
Bid,Maharashtra,0.2,916,76.99
Latur,Maharashtra,0.18,928,77.26
Chandrapur,Maharashtra,0.06,961,80.01
Dhule,Maharashtra,0.2,946,72.8
Jalna,Maharashtra,0.21,937,71.52
Parbhani,Maharashtra,0.2,947,73.34
Akola,Maharashtra,0.11,946,88.05
Osmanabad,Maharashtra,0.12,924,78.44
Nandurbar,Maharashtra,0.26,978,64.38
Ratnagiri,Maharashtra,-0.05,"1,122.00",82.18
Gondiya,Maharashtra,0.1,999,84.95
Wardha,Maharashtra,0.05,946,86.99
Bhandara,Maharashtra,0.06,982,83.76
Washim,Maharashtra,0.17,930,83.25
Hingoli,Maharashtra,0.19,942,78.17
Gadchiroli,Maharashtra,0.11,982,74.36
Sindhudurg,Maharashtra,-0.02,"1,036.00",85.56
Imphal West,Manipur,0.17,"1,031.00",86.08
Senapati,Manipur,0.69,937,63.6
Imphal East,Manipur,0.16,"1,017.00",81.95
Thoubal,Manipur,0.16,"1,002.00",74.47
Churachandpur,Manipur,0.2,975,82.78
Bishnupur,Manipur,0.14,999,75.85
Ukhrul,Manipur,0.31,943,81.35
Chandel,Manipur,0.22,933,71.11
Tamenglong,Manipur,0.26,943,70.05
East Khasi Hills,Meghalaya,0.25,"1,011.00",84.15
West Garo Hills,Meghalaya,0.24,984,67.58
Jaintia Hills,Meghalaya,0.32,"1,013.00",61.64
West Khasi Hills,Meghalaya,0.3,980,77.87
East Garo Hills,Meghalaya,0.27,972,73.95
Ri Bhoi,Meghalaya,0.34,953,75.67
South Garo Hills,Meghalaya,0.41,945,71.72
Aizawl,Mizoram,0.23,"1,009.00",97.89
Lunglei,Mizoram,0.18,947,88.86
Champhai,Mizoram,0.16,984,95.91
Lawngtlai,Mizoram,0.6,945,65.88
Mamit,Mizoram,0.38,927,84.93
Kolasib,Mizoram,0.27,956,93.5
Serchhip,Mizoram,0.21,977,97.91
Saiha,Mizoram,-0.07,979,90.01
Dimapur,Nagaland,1.27,919,84.79
Kohima,Nagaland,1.32,928,85.23
Mon,Nagaland,0.8,899,56.99
Tuensang,Nagaland,0.95,929,73.08
Mokokchung,Nagaland,0.61,925,91.62
Wokha,Nagaland,0.99,968,87.69
Phek,Nagaland,1.12,951,78.05
Zunheboto,Nagaland,0.78,976,85.26
Peren,Nagaland,1.04,915,77.95
Kiphire,Nagaland,0.39,956,69.54
Longleng,Nagaland,-0.22,905,72.17
Ganjam,Orissa,0.12,983,71.09
Cuttack,Orissa,0.12,940,85.5
Mayurbhanj,Orissa,0.13,"1,006.00",63.17
Baleshwar,Orissa,0.15,957,79.79
Khordha,Orissa,0.2,929,86.88
Sundargarh,Orissa,0.14,973,73.34
Jajapur,Orissa,0.12,973,80.13
Kendujhar,Orissa,0.15,988,68.24
Puri,Orissa,0.13,963,84.67
Balangir,Orissa,0.23,987,64.72
Kalahandi,Orissa,0.18,"1,003.00",59.22
Bhadrak,Orissa,0.13,981,82.78
Bargarh,Orissa,0.1,977,74.62
Kendrapara,Orissa,0.11,"1,007.00",85.15
Koraput,Orissa,0.17,"1,032.00",49.21
Anugul,Orissa,0.12,943,77.53
Nabarangapur,Orissa,0.19,"1,019.00",46.43
Dhenkanal,Orissa,0.12,947,78.76
Jagatsinghapur,Orissa,0.08,968,86.59
Sambalpur,Orissa,0.11,976,76.22
Rayagada,Orissa,0.16,"1,051.00",49.76
Nayagarh,Orissa,0.11,915,80.42
Kandhamal,Orissa,0.13,"1,037.00",64.13
Malkangiri,Orissa,0.22,"1,020.00",48.54
Nuapada,Orissa,0.15,"1,021.00",57.35
Subarnapur,Orissa,0.13,960,74.42
Jharsuguda,Orissa,0.14,953,78.86
Gajapati,Orissa,0.11,"1,043.00",53.49
Baudh,Orissa,0.18,991,71.61
Debagarh,Orissa,0.14,975,72.57
Puducherry,Puducherry,0.29,"1,029.00",85.44
Karaikal,Puducherry,0.17,"1,047.00",87.05
Yanam,Puducherry,0.77,"1,038.00",79.47
Mahe,Puducherry,0.14,"1,184.00",97.87
Ludhiana,Punjab,0.15,873,82.2
Amritsar,Punjab,0.15,889,76.27
Gurdaspur,Punjab,0.09,895,79.95
Jalandhar,Punjab,0.12,915,82.48
Firozpur,Punjab,0.16,893,68.92
Patiala,Punjab,0.2,891,75.28
Sangrur,Punjab,0.12,885,67.99
Hoshiarpur,Punjab,0.07,961,84.59
Bathinda,Punjab,0.17,868,68.28
Tarn Taran,Punjab,0.19,900,67.81
Moga,Punjab,0.11,893,70.68
Mohali,Punjab,0.33,879,83.8
Muktsar,Punjab,0.16,896,65.81
Kapurthala,Punjab,0.08,912,79.07
Mansa,Punjab,0.12,883,61.83
Rupnagar,Punjab,0.09,915,82.19
Faridkot,Punjab,0.12,890,69.55
Shahid Bhagat Singh Nagar,Punjab,0.04,954,79.78
Fatehgarh Sahib,Punjab,0.11,871,79.35
Barnala,Punjab,0.13,876,67.82
Jaipur,Rajasthan,0.26,910,75.51
Jodhpur,Rajasthan,0.28,916,65.94
Alwar,Rajasthan,0.23,895,70.72
Nagaur,Rajasthan,0.19,950,62.8
Udaipur,Rajasthan,0.24,958,61.82
Sikar,Rajasthan,0.17,947,71.91
Barmer,Rajasthan,0.33,902,56.53
Ajmer,Rajasthan,0.18,951,69.33
Bharatpur,Rajasthan,0.21,880,70.11
Bhilwara,Rajasthan,0.2,973,61.37
Bikaner,Rajasthan,0.41,905,65.13
Jhunjhunun,Rajasthan,0.12,950,74.13
Churu,Rajasthan,0.06,940,66.75
Pali,Rajasthan,0.12,987,62.39
Ganganagar,Rajasthan,0.1,887,69.64
Kota,Rajasthan,0.24,911,76.56
Jalor,Rajasthan,0.26,952,54.86
Banswara,Rajasthan,0.27,980,56.33
Hanumangarh,Rajasthan,0.17,906,67.13
Dausa,Rajasthan,0.24,905,68.16
Chittaurgarh,Rajasthan,0.16,972,61.71
Karauli,Rajasthan,0.21,861,66.22
Tonk,Rajasthan,0.17,952,61.58
Jhalawar,Rajasthan,0.2,946,61.5
Dungarpur,Rajasthan,0.25,994,59.46
Sawai Madhopur,Rajasthan,0.2,897,65.39
Baran,Rajasthan,0.2,929,66.66
Dhaulpur,Rajasthan,0.23,846,69.08
Rajsamand,Rajasthan,0.17,990,63.14
Bundi,Rajasthan,0.15,925,61.52
Sirohi,Rajasthan,0.22,940,55.25
Pratapgarh,Rajasthan,0.23,983,55.97
Jaisalmer,Rajasthan,0.32,852,57.22
East Sikkim,Sikkim,0.16,873,83.85
South Sikkim,Sikkim,0.12,915,81.42
West Sikkim,Sikkim,0.11,942,77.39
North Sikkim,Sikkim,0.07,767,78.01
District,State,Growth,Sex_Ratio,Literacy
Chennai,Tamil Nadu,0.07,989,90.18
Kancheepuram,Tamil Nadu,0.39,986,84.49
Vellore,Tamil Nadu,0.13,"1,007.00",79.17
Thiruvallur,Tamil Nadu,0.35,987,84.03
Salem,Tamil Nadu,0.15,954,72.86
Viluppuram,Tamil Nadu,0.17,987,71.88
Coimbatore,Tamil Nadu,0.19,"1,000.00",83.98
Tirunelveli,Tamil Nadu,0.13,"1,023.00",82.5
Madurai,Tamil Nadu,0.18,990,83.45
Tiruchirappalli,Tamil Nadu,0.13,"1,013.00",83.23
Cuddalore,Tamil Nadu,0.14,987,78.04
Tiruppur,Tamil Nadu,0.29,989,78.68
Tiruvannamalai,Tamil Nadu,0.13,994,74.21
Thanjavur,Tamil Nadu,0.09,"1,035.00",82.64
Erode,Tamil Nadu,0.12,993,72.58
Dindigul,Tamil Nadu,0.12,998,76.26
Virudhunagar,Tamil Nadu,0.11,"1,007.00",80.15
Krishnagiri,Tamil Nadu,0.2,958,71.46
Kanniyakumari,Tamil Nadu,0.12,"1,019.00",91.75
Thoothukkudi,Tamil Nadu,0.11,"1,023.00",86.16
Namakkal,Tamil Nadu,0.16,986,74.63
Pudukkottai,Tamil Nadu,0.11,"1,015.00",77.19
Nagapattinam,Tamil Nadu,0.09,"1,025.00",83.59
Dharmapuri,Tamil Nadu,0.16,946,68.54
Ramanathapuram,Tamil Nadu,0.14,983,80.72
Sivaganga,Tamil Nadu,0.16,"1,003.00",79.85
Thiruvarur,Tamil Nadu,0.08,"1,017.00",82.86
Theni,Tamil Nadu,0.14,991,77.26
Karur,Tamil Nadu,0.14,"1,015.00",75.6
Ariyalur,Tamil Nadu,0.09,"1,015.00",71.34
The Nilgiris,Tamil Nadu,-0.04,"1,042.00",85.2
Perambalur,Tamil Nadu,0.15,"1,003.00",74.32
West Tripura,Tripura,0.13,962,88.69
South Tripura,Tripura,0.14,957,84.66
North Tripura,Tripura,0.17,967,87.5
Dhalai,Tripura,0.23,944,85.72
Allahabad,Uttar Pradesh,0.21,901,72.32
Moradabad,Uttar Pradesh,0.25,906,56.77
Ghaziabad,Uttar Pradesh,0.42,881,78.07
Azamgarh,Uttar Pradesh,0.17,"1,019.00",70.93
Lucknow,Uttar Pradesh,0.26,917,77.29
Kanpur Nagar,Uttar Pradesh,0.1,862,79.65
Jaunpur,Uttar Pradesh,0.15,"1,024.00",71.55
Sitapur,Uttar Pradesh,0.24,888,61.12
Bareilly,Uttar Pradesh,0.23,887,58.49
Gorakhpur,Uttar Pradesh,0.18,950,70.83
Agra,Uttar Pradesh,0.22,868,71.58
Muzaffarnagar,Uttar Pradesh,0.17,889,69.12
Hardoi,Uttar Pradesh,0.2,868,64.57
Kheri,Uttar Pradesh,0.25,894,60.56
Sultanpur,Uttar Pradesh,0.18,983,69.27
Bijnor,Uttar Pradesh,0.18,917,68.48
Budaun,Uttar Pradesh,0.2,871,51.29
Varanasi,Uttar Pradesh,0.17,913,75.6
Aligarh,Uttar Pradesh,0.23,882,67.52
Ghazipur,Uttar Pradesh,0.19,952,71.78
Kushinagar,Uttar Pradesh,0.23,961,65.25
Bulandshahar,Uttar Pradesh,0.2,896,68.88
Bahraich,Uttar Pradesh,0.46,892,49.36
Saharanpur,Uttar Pradesh,0.2,890,70.49
Meerut,Uttar Pradesh,0.15,886,72.84
Gonda,Uttar Pradesh,0.24,921,58.71
Rae Bareli,Uttar Pradesh,0.19,943,67.25
Barabanki,Uttar Pradesh,0.22,910,61.75
Ballia,Uttar Pradesh,0.17,937,70.94
Pratapgarh,Uttar Pradesh,0.18,998,70.09
Unnao,Uttar Pradesh,0.15,907,66.37
Deoria,Uttar Pradesh,0.14,"1,017.00",71.13
Shahjahanpur,Uttar Pradesh,0.18,872,59.54
